model,score_column,evaluation_target,split/test_set,threshold,n_samples,predicted_positive_rate,precision,recall,f1,true_positive_rate,false_positive_count,false_negative_count
rule_baseline,silver_label_score,weak_relaxed,rugcheck_missing_fallback,0.05,2248,1.0,0.9804270462633452,1.0,0.9901168014375562,0.9804270462633452,44,0
rule_baseline,silver_label_score,weak_relaxed,rugcheck_missing_fallback,0.1,2248,1.0,0.9804270462633452,1.0,0.9901168014375562,0.9804270462633452,44,0
rule_baseline,silver_label_score,weak_relaxed,rugcheck_missing_fallback,0.2,2248,1.0,0.9804270462633452,1.0,0.9901168014375562,0.9804270462633452,44,0
rule_baseline,silver_label_score,weak_relaxed,rugcheck_missing_fallback,0.3,2248,0.9804270462633452,1.0,1.0,1.0,0.9804270462633452,0,0
rule_baseline,silver_label_score,weak_relaxed,rugcheck_missing_fallback,0.5,2248,0.45195729537366547,1.0,0.46098003629764067,0.631055900621118,0.9804270462633452,0,1188
rule_baseline,silver_label_score,weak_relaxed,rugcheck_missing_fallback,0.7,2248,0.033807829181494664,1.0,0.034482758620689655,0.06666666666666667,0.9804270462633452,0,2128
rule_baseline,silver_label_score,weak_relaxed,rugcheck_missing_fallback,0.9,2248,0.0,0.0,0.0,0.0,0.9804270462633452,0,2204
old_weak_token_logistic,token_logistic_score,weak_relaxed,rugcheck_missing_fallback,0.01,2248,0.4679715302491103,0.9990494296577946,0.4768602540834846,0.6455773955773956,0.9804270462633452,1,1153
old_weak_token_logistic,token_logistic_score,weak_relaxed,rugcheck_missing_fallback,0.02,2248,0.45951957295373663,0.9990319457889641,0.46823956442831216,0.6376274328081557,0.9804270462633452,1,1172
old_weak_token_logistic,token_logistic_score,weak_relaxed,rugcheck_missing_fallback,0.05,2248,0.45062277580071175,0.9990128331688055,0.4591651542649728,0.6291576002486788,0.9804270462633452,1,1192
old_weak_token_logistic,token_logistic_score,weak_relaxed,rugcheck_missing_fallback,0.1,2248,0.38033807829181493,1.0,0.3879310344827586,0.5590062111801242,0.9804270462633452,0,1349
old_weak_token_logistic,token_logistic_score,weak_relaxed,rugcheck_missing_fallback,0.2,2248,0.19261565836298933,1.0,0.19646098003629764,0.32840348881304515,0.9804270462633452,0,1771
old_weak_token_logistic,token_logistic_score,weak_relaxed,rugcheck_missing_fallback,0.3,2248,0.08540925266903915,1.0,0.08711433756805807,0.16026711185308848,0.9804270462633452,0,2012
old_weak_token_logistic,token_logistic_score,weak_relaxed,rugcheck_missing_fallback,0.5,2248,0.03425266903914591,1.0,0.034936479128856626,0.06751424813678211,0.9804270462633452,0,2127
old_weak_token_logistic,token_logistic_score,weak_relaxed,rugcheck_missing_fallback,0.7,2248,0.019572953736654804,1.0,0.019963702359346643,0.03914590747330961,0.9804270462633452,0,2160
old_weak_token_logistic,token_logistic_score,weak_relaxed,rugcheck_missing_fallback,0.9,2248,0.009786476868327402,1.0,0.009981851179673321,0.019766397124887692,0.9804270462633452,0,2182
old_weak_xgboost_token,token_model_score,weak_relaxed,rugcheck_missing_fallback,0.01,2248,0.02001779359430605,1.0,0.02041742286751361,0.040017785682525564,0.9804270462633452,0,2159
old_weak_xgboost_token,token_model_score,weak_relaxed,rugcheck_missing_fallback,0.02,2248,0.0071174377224199285,1.0,0.007259528130671506,0.014414414414414415,0.9804270462633452,0,2188
old_weak_xgboost_token,token_model_score,weak_relaxed,rugcheck_missing_fallback,0.05,2248,0.0035587188612099642,1.0,0.003629764065335753,0.007233273056057866,0.9804270462633452,0,2196
old_weak_xgboost_token,token_model_score,weak_relaxed,rugcheck_missing_fallback,0.1,2248,0.0026690391459074734,1.0,0.0027223230490018148,0.005429864253393665,0.9804270462633452,0,2198
old_weak_xgboost_token,token_model_score,weak_relaxed,rugcheck_missing_fallback,0.2,2248,0.002224199288256228,1.0,0.002268602540834846,0.004526935264825713,0.9804270462633452,0,2199
old_weak_xgboost_token,token_model_score,weak_relaxed,rugcheck_missing_fallback,0.3,2248,0.0017793594306049821,1.0,0.0018148820326678765,0.0036231884057971015,0.9804270462633452,0,2200
old_weak_xgboost_token,token_model_score,weak_relaxed,rugcheck_missing_fallback,0.5,2248,0.0017793594306049821,1.0,0.0018148820326678765,0.0036231884057971015,0.9804270462633452,0,2200
old_weak_xgboost_token,token_model_score,weak_relaxed,rugcheck_missing_fallback,0.7,2248,0.0017793594306049821,1.0,0.0018148820326678765,0.0036231884057971015,0.9804270462633452,0,2200
old_weak_xgboost_token,token_model_score,weak_relaxed,rugcheck_missing_fallback,0.9,2248,0.0008896797153024911,1.0,0.0009074410163339383,0.001813236627379873,0.9804270462633452,0,2202
graphsage_direct,graphsage_score,weak_relaxed,rugcheck_missing_fallback,0.01,2248,0.47686832740213525,0.9990671641791045,0.48593466424682397,0.6538461538461539,0.9804270462633452,1,1133
graphsage_direct,graphsage_score,weak_relaxed,rugcheck_missing_fallback,0.02,2248,0.451067615658363,0.9990138067061144,0.45961887477313973,0.6295835922933499,0.9804270462633452,1,1191
graphsage_direct,graphsage_score,weak_relaxed,rugcheck_missing_fallback,0.05,2248,0.4377224199288256,0.9989837398373984,0.4460072595281307,0.6166875784190715,0.9804270462633452,1,1221
graphsage_direct,graphsage_score,weak_relaxed,rugcheck_missing_fallback,0.1,2248,0.376779359430605,1.0,0.38430127041742285,0.5552277941658472,0.9804270462633452,0,1357
graphsage_direct,graphsage_score,weak_relaxed,rugcheck_missing_fallback,0.2,2248,0.12811387900355872,1.0,0.1306715063520871,0.23113964686998395,0.9804270462633452,0,1916
graphsage_direct,graphsage_score,weak_relaxed,rugcheck_missing_fallback,0.3,2248,0.0849644128113879,1.0,0.0866606170598911,0.15949895615866388,0.9804270462633452,0,2013
graphsage_direct,graphsage_score,weak_relaxed,rugcheck_missing_fallback,0.5,2248,0.04848754448398576,1.0,0.04945553539019964,0.09424989191526156,0.9804270462633452,0,2095
graphsage_direct,graphsage_score,weak_relaxed,rugcheck_missing_fallback,0.7,2248,0.025355871886120998,1.0,0.02586206896551724,0.05042016806722689,0.9804270462633452,0,2147
graphsage_direct,graphsage_score,weak_relaxed,rugcheck_missing_fallback,0.9,2248,0.00800711743772242,1.0,0.008166969147005444,0.016201620162016202,0.9804270462633452,0,2186
old_weak_xgboost_token_graphsage,combined_model_score,weak_relaxed,rugcheck_missing_fallback,0.01,2248,0.013790035587188613,1.0,0.014065335753176044,0.02774049217002237,0.9804270462633452,0,2173
old_weak_xgboost_token_graphsage,combined_model_score,weak_relaxed,rugcheck_missing_fallback,0.02,2248,0.007562277580071174,1.0,0.007713248638838476,0.01530841963079694,0.9804270462633452,0,2187
old_weak_xgboost_token_graphsage,combined_model_score,weak_relaxed,rugcheck_missing_fallback,0.05,2248,0.0035587188612099642,1.0,0.003629764065335753,0.007233273056057866,0.9804270462633452,0,2196
old_weak_xgboost_token_graphsage,combined_model_score,weak_relaxed,rugcheck_missing_fallback,0.1,2248,0.0026690391459074734,1.0,0.0027223230490018148,0.005429864253393665,0.9804270462633452,0,2198
old_weak_xgboost_token_graphsage,combined_model_score,weak_relaxed,rugcheck_missing_fallback,0.2,2248,0.0026690391459074734,1.0,0.0027223230490018148,0.005429864253393665,0.9804270462633452,0,2198
old_weak_xgboost_token_graphsage,combined_model_score,weak_relaxed,rugcheck_missing_fallback,0.3,2248,0.0026690391459074734,1.0,0.0027223230490018148,0.005429864253393665,0.9804270462633452,0,2198
old_weak_xgboost_token_graphsage,combined_model_score,weak_relaxed,rugcheck_missing_fallback,0.5,2248,0.0013345195729537367,1.0,0.0013611615245009074,0.002718622564567286,0.9804270462633452,0,2201
old_weak_xgboost_token_graphsage,combined_model_score,weak_relaxed,rugcheck_missing_fallback,0.7,2248,0.0013345195729537367,1.0,0.0013611615245009074,0.002718622564567286,0.9804270462633452,0,2201
old_weak_xgboost_token_graphsage,combined_model_score,weak_relaxed,rugcheck_missing_fallback,0.9,2248,0.00044483985765124553,1.0,0.00045372050816696913,0.0009070294784580499,0.9804270462633452,0,2203
